NAICS,GROSS SALES,Taxable sales,sales tax,use tax,Total tax,Number
5172,"$16,125,634 ","$12,257,725 ","$796,757 ","$7,592 ","$804,349 ",30
5173,"$21,322,416 ","$9,265,313 ","$602,239 ","$2,649 ","$604,888 ",23
5174,"$344,339 ","$304,134 ","$19,767 ",$0 ,"$19,767 ",4
5179,"$12,825,707 ","$11,932,149 ","$775,587 ",$0 ,"$775,587 ",7
5181,"$19,852,769 ","$2,229,798 ","$144,940 ","$82,891 ","$227,831 ",31
5182,"$2,194,284,275 ","$361,254,368 ","$23,481,558 ","$1,231,457 ","$24,713,015 ",806
5190,"$1,119,212,858 ","$751,508,327 ","$48,848,055 ","$333,261 ","$49,181,316 ",231
5191,"$1,885,089,297 ","$321,029,831 ","$20,867,543 ","$11,147,169 ","$32,014,712 ","1,543"
5221,"$291,104,351 ","$28,227,011 ","$1,834,761 ","$1,809,421 ","$3,644,182 ",495
5222,"$532,940,311 ","$226,108,645 ","$14,697,072 ","$180,329 ","$14,877,401 ",307
5223,"$91,711,742 ","$3,481,035 ","$226,303 ","$21,641 ","$247,944 ",106
5231,"$68,420,898 ","$5,940,710 ","$386,152 ","$7,266,815 ","$7,652,967 ",99
5239,"$127,455,040 ","$8,433,683 ","$554,068 ","$28,080 ","$582,148 ",121
5241,"$1,472,185,758 ","$6,438,051 ","$418,476 ","$2,652,562 ","$3,071,038 ",110
5242,"$801,774,104 ","$7,142,353 ","$464,240 ","$532,008 ","$996,248 ",523
5251,"$1,534,114 ","$220,309 ","$14,323 ",$0 ,"$14,323 ",4
5259,"$28,914,558 ","$26,843,065 ","$1,744,796 ","$29,739 ","$1,774,535 ",31
5310,"$629,126,694 ","$99,674,927 ","$6,492,420 ","$648,339 ","$7,140,759 ",919
5311,"$206,209,593 ","$24,230,765 ","$1,582,050 ","$67,895 ","$1,649,945 ",351
5312,"$189,776,884 ","$10,946,029 ","$715,948 ","$36,105 ","$752,053 ",255
5313,"$194,183,834 ","$20,115,140 ","$1,272,067 ","$60,899 ","$1,332,966 ",369
5320,"$2,793,918 ","$199,731 ","$12,983 ","$9,060 ","$22,043 ",4
5321,"$552,383,713 ","$482,895,856 ","$44,394,150 ","$811,504 ","$45,205,654 ",329
5322,"$1,161,869,390 ","$722,086,238 ","$48,133,341 ","$415,052 ","$48,548,393 ","1,244"
5323,"$49,023,017 ","$32,670,123 ","$2,127,374 ","$1,865 ","$2,129,239 ",87
5324,"$564,920,032 ","$367,259,665 ","$23,889,851 ","$304,799 ","$24,194,650 ",467
5331,"$15,593,905 ","$8,507,417 ","$552,982 ","$353,062 ","$906,044 ",16
5411,"$733,495,513 ","$2,644,400 ","$171,879 ","$519,308 ","$691,187 ",653
5412,"$702,008,106 ","$17,311,170 ","$1,125,241 ","$791,293 ","$1,916,534 ",764
5413,"$1,190,766,924 ","$32,745,438 ","$2,128,487 ","$900,659 ","$3,029,146 ",787
5414,"$420,342,501 ","$125,100,386 ","$8,131,543 ","$223,355 ","$8,354,898 ","1,472"
5415,"$2,321,000,433 ","$439,664,373 ","$28,580,044 ","$2,011,660 ","$30,591,704 ","1,357"
5416,"$1,958,815,903 ","$183,574,938 ","$11,977,672 ","$859,700 ","$12,837,372 ","2,012"
5417,"$422,896,822 ","$15,272,706 ","$992,726 ","$4,208,838 ","$5,201,564 ",131
5418,"$1,600,904,244 ","$72,387,947 ","$4,705,227 ","$1,212,961 ","$5,918,188 ",748
5419,"$1,274,713,203 ","$371,612,046 ","$24,156,461 ","$3,329,957 ","$27,486,418 ","3,253"
5510,"$183,159,332 ","$83,089,999 ","$5,401,064 ","$172,891 ","$5,573,955 ",182
5511,"$351,927,074 ","$28,201,158 ","$1,833,203 ","$183,968 ","$2,017,171 ",105
5611,"$67,144,690 ","$4,354,905 ","$286,348 ","$164,049 ","$450,397 ",75
5612,"$32,284,451 ","$13,624,881 ","$885,625 ","$24,190 ","$909,815 ",31
5613,"$214,068,704 ","$2,442,999 ","$158,803 ","$22,241 ","$181,044 ",174
5614,"$2,303,741,251 ","$357,781,312 ","$23,278,614 ","$4,359,174 ","$27,637,788 ","2,477"
5615,"$130,854,858 ","$33,534,754 ","$2,180,505 ","$484,635 ","$2,665,140 ",141
5616,"$339,779,794 ","$219,462,186 ","$14,265,027 ","$688,300 ","$14,953,327 ",397
5617,"$1,542,090,441 ","$921,896,978 ","$59,923,911 ","$953,117 ","$60,877,028 ","6,978"
5619,"$311,312,878 ","$75,515,384 ","$4,909,343 ","$228,910 ","$5,138,253 ",290
5620,"$166,426,699 ","$3,148,446 ","$204,646 ","$97,989 ","$302,635 ",120
5621,"$305,763,379 ","$2,414,717 ","$156,963 ","$343,472 ","$500,435 ",144
5622,"$102,675,185 ","$82,386 ","$5,354 ","$24,023 ","$29,377 ",12
