County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Roseau,593754659,94349498,6286178,358913,6645091,485,2004,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,6390071000,2191945128,144849792,10377283,155227075,5604,2004,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,2799702773,913694904,60585458,5334578,65920036,2670,2004,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2214535104,545321515,35965667,1424937,37390604,1862,2004,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,268296617,34071308,2260171,98171,2358342,397,2004,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,5572363081,1554708811,102648238,5640540,108288778,4136,2004,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2354331872,401073657,26392688,1050709,27443397,1105,2004,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,276520193,72167346,4758983,300301,5059284,351,2004,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,305595850,51333355,3428761,412980,3841741,353,2004,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,527661661,68867142,4619707,252775,4872482,593,2004,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,46255057,12614801,846317,25110,871427,147,2004,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,291648814,86104872,5768449,478567,6247016,693,2004,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,520362269,112074139,7269475,113846,7383321,501,2004,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,533278701,77063713,5096687,566579,5663266,527,2004,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,7420620266,1701216039,112641421,4859480,117500901,4739,2004,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,711896373,47009125,3115442,248905,3364347,373,2004,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,207472410,20215267,1353382,39643,1393025,159,2004,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,1516492137,318558522,21066138,1960511,23026649,1280,2004,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,2609348478,761685911,50337278,2150583,52487861,2856,2004,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,249889472,46887217,3119035,79542,3198577,380,2004,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,241337353469,60309541847,3985151015,270853616,4256004631,152679,2004,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,426029085,113627629,7595927,96469,7692396,565,2005,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,11025603497,2887864598,193642891,15092004,208734895,7143,2005,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,756035807,236623039,15736264,925307,16661571,1073,2005,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,975319572,394705864,26047903,1130582,27178485,1165,2005,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1737629715,350996954,23270316,963892,24234208,965,2005,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,46590038,18831935,1261209,16624,1277833,228,2005,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,2924042328,960994941,63231374,2237461,65468835,1792,2005,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,676703330,195564869,12936990,452687,13389677,849,2005,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,817246299,212355801,14082901,1846987,15929888,902,2005,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2406025422,574500458,38161715,1856019,40017734,2087,2005,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,526592271,196437316,13232151,126912,13359063,1127,2005,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,312525585,78987064,5238256,472682,5710938,454,2005,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,932414975,252721313,16777785,597829,17375614,1324,2005,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1226285357,309521316,20603964,1059484,21663448,1061,2005,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,218366831,29204879,1975639,531915,2507554,254,2005,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,135178223,85149758,5656379,134568,5790947,376,2005,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,285383618,52745189,3497614,170359,3667973,429,2005,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2373099038,869413966,57441981,1586859,59028840,2301,2005,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,16770437313,4250619355,280527412,26987170,307514582,8580,2005,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,540722036,83522593,5543101,358546,5901647,476,2005,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1445865575,589939908,38765704,1020358,39786062,1439,2005,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,771992850,82890708,5493902,631498,6125400,568,2005,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,666349356,112140707,7432611,124855,7557466,856,2005,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1159874039,253669872,16733381,655983,17389364,992,2005,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1368102501,294823021,19554055,887527,20441582,1440,2005,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,173007772,22732286,1508017,46774,1554791,250,2005,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,72135477479,18330297404,1215742978,78569713,1294312691,31695,2005,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,268154412,64167050,4279173,207535,4486708,556,2005,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,367829504,125673881,8382953,597366,8980319,791,2005,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,738684410,293576862,19329635,483827,19813462,969,2005,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1586150510,351376715,23206253,2063620,25269873,1476,2005,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,394823160,46131053,3050793,117681,3168474,440,2005,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,255785582,68666735,4529670,78190,4607860,452,2005,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1646819815,444257556,29279338,1399177,30678515,1254,2005,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,79188082,16993423,1139061,29448,1168509,169,2005,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,748978438,90794512,6093497,1558156,7651653,464,2005,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,228984919,26059163,1736334,158441,1894775,259,2005,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,251498188,68198871,4554614,2484257,7038871,410,2005,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,83325451,42414325,2858391,16531,2874922,226,2005,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,530381270,92677878,6209313,245813,6455126,697,2005,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,86059566,22857300,1519592,21567,1541159,217,2005,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,899121457,287406557,18903242,1409817,20313059,846,2005,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,1071191515,310752408,20434191,4372356,24806547,1093,2005,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,77397880,42547705,2873270,7937,2881207,134,2005,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,133595090,29544096,1990440,32182,2022622,261,2005,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,650906223,125867684,8321934,391776,8713710,700,2005,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,712250374,119525346,7895223,413553,8308776,647,2005,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
