edr,year,sales.type,dollars
EDR 6E- Southwest Central,2014,use.tax,5727642
EDR 6E- Southwest Central,2015,gross.sales,5163274237
EDR 6E- Southwest Central,2015,sales.tax,77704521
EDR 6E- Southwest Central,2015,taxable.sales,1112459336
EDR 6E- Southwest Central,2015,total.tax,82714710
EDR 6E- Southwest Central,2015,use.tax,5010189
EDR 6E- Southwest Central,2016,gross.sales,5217981070
EDR 6E- Southwest Central,2016,sales.tax,77951176
EDR 6E- Southwest Central,2016,taxable.sales,1116063645
EDR 6E- Southwest Central,2016,total.tax,82095869
EDR 6E- Southwest Central,2016,use.tax,4144693
EDR 6E- Southwest Central,2017,gross.sales,5510039573
EDR 6E- Southwest Central,2017,sales.tax,81965754
EDR 6E- Southwest Central,2017,taxable.sales,1173961202
EDR 6E- Southwest Central,2017,total.tax,86209007
EDR 6E- Southwest Central,2017,use.tax,4243253
EDR 6W- Upper Minnesota Valley,2003,gross.sales,969733247
EDR 6W- Upper Minnesota Valley,2003,sales.tax,14200501
EDR 6W- Upper Minnesota Valley,2003,taxable.sales,213368529
EDR 6W- Upper Minnesota Valley,2003,total.tax,14838977
EDR 6W- Upper Minnesota Valley,2003,use.tax,638476
EDR 6W- Upper Minnesota Valley,2004,gross.sales,1134405157
EDR 6W- Upper Minnesota Valley,2004,sales.tax,14637541
EDR 6W- Upper Minnesota Valley,2004,taxable.sales,219855705
EDR 6W- Upper Minnesota Valley,2004,total.tax,15618536
EDR 6W- Upper Minnesota Valley,2004,use.tax,980995
EDR 6W- Upper Minnesota Valley,2005,gross.sales,1158486673
EDR 6W- Upper Minnesota Valley,2005,sales.tax,14883679
EDR 6W- Upper Minnesota Valley,2005,taxable.sales,223554184
EDR 6W- Upper Minnesota Valley,2005,total.tax,15854163
EDR 6W- Upper Minnesota Valley,2005,use.tax,970484
EDR 6W- Upper Minnesota Valley,2006,gross.sales,1301605499
EDR 6W- Upper Minnesota Valley,2006,sales.tax,15269372
EDR 6W- Upper Minnesota Valley,2006,taxable.sales,229351865
EDR 6W- Upper Minnesota Valley,2006,total.tax,16512729
EDR 6W- Upper Minnesota Valley,2006,use.tax,1300539
EDR 6W- Upper Minnesota Valley,2007,gross.sales,1540494192
EDR 6W- Upper Minnesota Valley,2007,sales.tax,16059891
EDR 6W- Upper Minnesota Valley,2007,taxable.sales,241175681
EDR 6W- Upper Minnesota Valley,2007,total.tax,17633938
EDR 6W- Upper Minnesota Valley,2007,use.tax,1574047
EDR 6W- Upper Minnesota Valley,2008,gross.sales,1772047559
EDR 6W- Upper Minnesota Valley,2008,sales.tax,16708708
EDR 6W- Upper Minnesota Valley,2008,taxable.sales,251171099
EDR 6W- Upper Minnesota Valley,2008,total.tax,18327657
EDR 6W- Upper Minnesota Valley,2008,use.tax,1618949
EDR 6W- Upper Minnesota Valley,2009,gross.sales,1642536560
EDR 6W- Upper Minnesota Valley,2009,sales.tax,16953230
EDR 6W- Upper Minnesota Valley,2009,taxable.sales,247222809
EDR 6W- Upper Minnesota Valley,2009,total.tax,18129555
EDR 6W- Upper Minnesota Valley,2009,use.tax,1176325
EDR 6W- Upper Minnesota Valley,2010,gross.sales,1868068625
EDR 6W- Upper Minnesota Valley,2010,sales.tax,18272973
EDR 6W- Upper Minnesota Valley,2010,taxable.sales,259864393
EDR 6W- Upper Minnesota Valley,2010,total.tax,19561967
EDR 6W- Upper Minnesota Valley,2010,use.tax,1288994
EDR 6W- Upper Minnesota Valley,2011,gross.sales,2078416559
EDR 6W- Upper Minnesota Valley,2011,sales.tax,19184854
EDR 6W- Upper Minnesota Valley,2011,taxable.sales,273150519
EDR 6W- Upper Minnesota Valley,2011,total.tax,21021485
EDR 6W- Upper Minnesota Valley,2011,use.tax,1836631
EDR 6W- Upper Minnesota Valley,2012,gross.sales,2114700999
EDR 6W- Upper Minnesota Valley,2012,sales.tax,19180772
EDR 6W- Upper Minnesota Valley,2012,taxable.sales,272839612
EDR 6W- Upper Minnesota Valley,2012,total.tax,21085680
EDR 6W- Upper Minnesota Valley,2012,use.tax,1904908
EDR 6W- Upper Minnesota Valley,2013,gross.sales,2043624602
EDR 6W- Upper Minnesota Valley,2013,sales.tax,19891587
EDR 6W- Upper Minnesota Valley,2013,taxable.sales,283322808
EDR 6W- Upper Minnesota Valley,2013,total.tax,21552430
EDR 6W- Upper Minnesota Valley,2013,use.tax,1660843
EDR 6W- Upper Minnesota Valley,2014,gross.sales,1865784678
EDR 6W- Upper Minnesota Valley,2014,sales.tax,19799864
EDR 6W- Upper Minnesota Valley,2014,taxable.sales,281885388
EDR 6W- Upper Minnesota Valley,2014,total.tax,21446237
EDR 6W- Upper Minnesota Valley,2014,use.tax,1646373
EDR 6W- Upper Minnesota Valley,2015,gross.sales,1742982517
EDR 6W- Upper Minnesota Valley,2015,sales.tax,19578660
EDR 6W- Upper Minnesota Valley,2015,taxable.sales,278400143
EDR 6W- Upper Minnesota Valley,2015,total.tax,21045810
EDR 6W- Upper Minnesota Valley,2015,use.tax,1467150
EDR 6W- Upper Minnesota Valley,2016,gross.sales,1717504952
EDR 6W- Upper Minnesota Valley,2016,sales.tax,19131729
EDR 6W- Upper Minnesota Valley,2016,taxable.sales,271780485
EDR 6W- Upper Minnesota Valley,2016,total.tax,20194509
EDR 6W- Upper Minnesota Valley,2016,use.tax,1062780
EDR 6W- Upper Minnesota Valley,2017,gross.sales,1747432324
EDR 6W- Upper Minnesota Valley,2017,sales.tax,19586427
EDR 6W- Upper Minnesota Valley,2017,taxable.sales,278361845
EDR 6W- Upper Minnesota Valley,2017,total.tax,20552674
EDR 6W- Upper Minnesota Valley,2017,use.tax,966247
