County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Lyon,2006,31,419694,870332600,2074
Lyon,2007,31,421082,976333800,2319
Lyon,2008,31,419213,1076938400,2569
Mahnomen,2000,19,240599,92884959,386
Mahnomen,2001,19,240582,95152700,396
Mahnomen,2002,19,240158,97976200,408
Mahnomen,2003,19,239637,102060300,426
Mahnomen,2004,19,234934,104816000,446
Mahnomen,2005,19,233672,132819250,568
Mahnomen,2006,19,237401,169123736,712
Mahnomen,2007,19,235941,178737570,758
Mahnomen,2008,19,235151,198253900,843
Marshall,2000,59,924903,390416855,422
Marshall,2001,59,924198,384736875,416
Marshall,2002,59,922921,373098589,404
Marshall,2003,59,920505,375851564,408
Marshall,2004,59,918517,386364314,421
Marshall,2005,59,916763,458201206,500
Marshall,2006,59,916612,522501253,570
Marshall,2007,59,917488,557242692,607
Marshall,2008,59,927245,666151126,718
Martin,2000,30,436919,778133760,1781
Martin,2001,30,436671,777297860,1780
Martin,2002,30,436516,828954260,1899
Martin,2003,30,436293,879965060,2017
Martin,2004,30,436169,922060900,2114
Martin,2005,30,436055,1028509750,2359
Martin,2006,30,435385,1135150250,2607
Martin,2007,30,432225,1286635400,2977
Martin,2008,30,432033,1421193500,3290
McLeod,2000,23,288658,439829900,1524
McLeod,2001,23,287576,456098820,1586
McLeod,2002,23,287279,503223980,1752
McLeod,2003,23,286960,574601300,2002
McLeod,2004,23,286063,600916300,2101
McLeod,2005,23,285231,742331050,2603
McLeod,2006,23,284659,958577215,3367
McLeod,2007,23,283513,958297439,3380
McLeod,2008,23,282557,951415015,3367
Meeker,2000,26,349497,358050700,1024
Meeker,2001,26,348865,412577100,1183
Meeker,2002,26,347677,452322100,1301
Meeker,2003,26,346659,486336100,1403
Meeker,2004,26,345319,525791000,1523
Meeker,2005,26,344157,680946100,1979
Meeker,2006,26,343391,813441800,2369
Meeker,2007,26,342318,937092500,2737
Meeker,2008,26,341468,933978900,2735
Mille Lacs,2000,25,161678,107025879,662
Mille Lacs,2001,25,158480,135206710,853
Mille Lacs,2002,25,153185,153070024,999
Mille Lacs,2003,25,148799,168495304,1132
Mille Lacs,2004,25,147217,181652604,1234
Mille Lacs,2005,25,145029,207999735,1434
Mille Lacs,2006,25,143300,262777725,1834
Mille Lacs,2007,25,142273,340899679,2396
Mille Lacs,2008,25,142562,369207529,2590
Morrison,2000,47,557336,301947645,542
Morrison,2001,47,556693,409002245,735
Morrison,2002,47,554951,499403650,900
Morrison,2003,46,553272,560267150,1013
Morrison,2004,46,551913,608564100,1103
Morrison,2005,46,544620,777045250,1427
Morrison,2006,46,542730,940366750,1733
Morrison,2007,46,541732,1130660850,2087
Morrison,2008,46,539993,1186531150,2197
Mower,2000,34,430367,655892330,1524
Mower,2001,34,429901,715895230,1665
Mower,2002,34,429696,772601330,1798
Mower,2003,34,429453,804861620,1874
Mower,2004,34,428670,919870080,2146
Mower,2005,34,428292,995731600,2325
Mower,2006,34,428025,1146868600,2679
Mower,2007,34,423776,1323970150,3124
Mower,2008,34,423786,1390498690,3281
Murray,2000,29,432547,498128500,1152
Murray,2001,29,432350,494604600,1144
Murray,2002,29,432110,546022000,1264
Murray,2003,29,431210,594200350,1378
Murray,2004,29,429230,633373950,1476
Murray,2005,29,428919,725459150,1691
Murray,2006,29,428619,911645500,2127
Murray,2007,29,428161,975117600,2277
Murray,2008,29,426681,1094756740,2566
Nicollet,2000,19,261155,477752100,1829
Nicollet,2001,19,260978,561001375,2150
Nicollet,2002,19,260759,572961500,2197
Nicollet,2003,19,260159,630145300,2422
Nicollet,2004,19,258913,630344500,2435
Nicollet,2005,19,258444,768134400,2972
Nicollet,2006,19,258047,833746100,3231
Nicollet,2007,19,257850,873229400,3387
Nicollet,2008,19,254335,987175100,3881
Nobles,2000,31,438112,596208200,1361
Nobles,2001,31,437932,609074000,1391
Nobles,2002,31,437640,666996600,1524
Nobles,2003,31,437429,704504950,1611
Nobles,2004,31,437274,751193100,1718
Nobles,2005,31,436881,863087700,1976
Nobles,2006,31,436654,1007670200,2308
Nobles,2007,31,436163,1126400300,2583
Nobles,2008,31,436017,1262623100,2896
Norman,2000,32,536854,316941800,590
Norman,2001,32,536310,316782400,591
Norman,2002,32,536033,316645500,591
Norman,2003,32,535851,318859400,595
Norman,2004,32,533713,325699000,610
Norman,2005,32,533613,367032400,688
Norman,2006,32,533593,483156050,905
Norman,2007,32,532719,487135900,914
Norman,2008,32,532605,603692300,1133
Olmsted,2000,26,361952,482853020,1334
Olmsted,2001,26,359550,535639240,1490
Olmsted,2002,26,357393,613450740,1716
Olmsted,2003,26,351978,681008140,1935
Olmsted,2004,26,346914,1010766140,2914
Olmsted,2005,26,347297,1206943200,3475
Olmsted,2006,26,343664,1295987700,3771
Olmsted,2007,26,336375,1346358800,4003
Olmsted,2008,26,331493,1351625500,4077
Otter Tail,2000,84,1062676,580794000,547
Otter Tail,2001,84,1058307,715951600,677
Otter Tail,2002,84,1055727,830417050,787
Otter Tail,2003,84,1050334,922448600,878
Otter Tail,2004,84,1035346,979200150,946
Otter Tail,2005,84,1027975,1277656700,1243
Otter Tail,2006,84,1024393,1478863700,1444
Otter Tail,2007,84,1019483,1884075300,1848
Otter Tail,2008,84,1009157,1944383050,1927
Pennington,2000,24,369105,99306900,269
Pennington,2001,24,368378,99224800,269
Pennington,2002,24,368280,99302100,270
Pennington,2003,24,367584,105964350,288
Pennington,2004,24,366973,117589050,320
Pennington,2005,24,366649,149484500,408
Pennington,2006,24,365979,175620800,480
Pennington,2007,24,365597,216386100,592
Pennington,2008,24,361803,227730900,629
Pine,2000,47,367901,200476150,545
Pine,2001,47,364579,254733630,699
Pine,2002,47,363102,328947175,906
Pine,2003,47,358651,415681730,1159
Pine,2004,47,354839,492645435,1388
Pine,2005,47,347710,523162550,1505
Pine,2006,47,341142,573674780,1682
Pine,2007,47,336498,631567060,1877
Pine,2008,47,333026,626005910,1880
Pipestone,2000,21,286932,260708000,909
Pipestone,2001,21,286621,283757900,990
Pipestone,2002,21,286511,309940900,1082
Pipestone,2003,21,286373,358257600,1251
Pipestone,2004,21,286212,389914900,1362
Pipestone,2005,21,286087,464990800,1625
Pipestone,2006,21,285865,519722600,1818
Pipestone,2007,21,285004,588916500,2066
Pipestone,2008,21,284911,665558900,2336
Polk,2000,73,1177996,702003310,596
Polk,2001,73,1176193,702232970,597
Polk,2002,73,1175111,711469000,605
Polk,2003,73,1172923,706957650,603
Polk,2004,73,1167967,725507800,621
Polk,2005,73,1165377,811735520,697
Polk,2006,73,1159993,1008801910,870
Polk,2007,73,1156284,1124628810,973
Polk,2008,73,1155074,1289908970,1117
Pope,2000,29,382161,236835200,620
Pope,2001,29,382154,250765850,656
Pope,2002,29,381797,251069950,658
Pope,2003,29,380353,322341750,847
Pope,2004,29,371354,414319900,1116
Pope,2005,29,369534,524987350,1421
Pope,2006,29,368735,635095310,1722
Pope,2007,29,367751,667717400,1816
Pope,2008,29,366677,733930910,2002
Ramsey,2000,19,402,28801000,71644
Ramsey,2001,19,445,32434400,72886
Ramsey,2002,19,435,51233300,117778
Ramsey,2003,19,424,42975600,101358
Ramsey,2004,18,310,33415800,107793
Ramsey,2005,18,288,35769300,124199
Ramsey,2006,18,305,49682200,162892
Ramsey,2007,18,275,49608200,180393
Ramsey,2008,18,256,44672000,174500
Red Lake,2000,17,261101,72154600,276
Red Lake,2001,17,261117,72119000,276
Red Lake,2002,17,260190,79912900,307
Red Lake,2003,17,260331,79871200,307
Red Lake,2004,17,260158,93187800,358
Red Lake,2005,17,260100,118742900,457
Red Lake,2006,17,259666,136004400,524
Red Lake,2007,17,259689,157534800,607
Red Lake,2008,17,259699,180696700,696
Redwood,2000,41,541203,755031315,1395
Redwood,2001,41,541051,759237860,1403
Redwood,2002,41,540768,855585160,1582
Redwood,2003,41,540559,846719710,1566
Redwood,2004,41,540058,925791850,1714
Redwood,2005,41,539815,1091728650,2022
Redwood,2006,41,538999,1235154435,2292
Redwood,2007,41,538859,1424458100,2643
Redwood,2008,41,537495,1530810512,2848
Renville,2000,37,605357,955987900,1579
Renville,2001,37,604639,955165400,1580
Renville,2002,37,604175,957850100,1585
Renville,2003,37,603533,1020763700,1691
Renville,2004,37,603151,1094825500,1815
Renville,2005,37,603044,1361322360,2257
Renville,2006,37,602397,1550431280,2574
Renville,2007,37,601748,1618944760,2690
Renville,2008,37,601416,1854717260,3084
Rice,2000,21,279344,532158105,1905
Rice,2001,21,278274,595787470,2141
Rice,2002,21,276902,653463070,2360
Rice,2003,21,276820,829701461,2997
Rice,2004,21,274883,951269544,3461
Rice,2005,21,273463,1132661350,4142
Rice,2006,21,271234,1565630675,5772
Rice,2007,21,270072,1566640175,5801
Rice,2008,21,266120,1546031557,5810
Rock,2000,20,298125,382168300,1282
Rock,2001,20,297839,432480950,1452
Rock,2002,20,297218,453511750,1526
Rock,2003,20,296669,502813900,1695
Rock,2004,20,296245,548086500,1850
Rock,2005,20,296096,603591900,2039
Rock,2006,20,296046,737972350,2493
Rock,2007,20,296000,793423900,2680
Rock,2008,20,295613,1020928800,3454
Roseau,2000,56,697112,181973300,261
Roseau,2001,56,695544,183289100,264
Roseau,2002,56,693821,186917050,269
Roseau,2003,56,692633,187996950,271
Roseau,2004,56,691688,200843100,290
Roseau,2005,56,685752,241165900,352
Roseau,2006,54,673130,278648450,414
Roseau,2007,54,673121,293338300,436
Roseau,2008,54,672224,345337650,514
Scott,2000,19,146689,379354500,2586
Scott,2001,19,143890,412278100,2865
Scott,2002,19,142365,512850200,3602
Scott,2003,19,137793,559478100,4060
Scott,2004,19,134551,612713300,4554
Scott,2005,19,131830,734138900,5569
Scott,2006,18,130120,758728250,5831
Scott,2007,18,131139,966945400,7373
Scott,2008,18,128086,1293985300,10102
Sherburne,2000,17,180876,317689492,1756
Sherburne,2001,17,178936,346902180,1939
Sherburne,2002,17,225677,404303543,1792
Sherburne,2003,17,168605,457973646,2716
Sherburne,2004,17,166415,688889560,4140
Sherburne,2005,17,162236,762867900,4702
Sherburne,2006,17,158625,876380200,5525
Sherburne,2007,17,156739,938729000,5989
Sherburne,2008,17,149075,848769200,5694
Sibley,2000,24,359529,590710712,1643
