County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Cottonwood,2008,25,387812,1123988400,2898,033,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Crow Wing,2000,49,167928,103754500,618,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2001,49,167678,123370700,736,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2002,48,166188,149984400,902,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2003,48,165080,164221200,995,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2004,48,163638,184026800,1125,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2005,48,161939,239621500,1480,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2006,48,161200,280050600,1737,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2007,48,158907,353717e3,2226,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Crow Wing,2008,48,155760,357482700,2295,035,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Dakota,2000,34,222516,533352800,2397,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2001,34,219771,630815200,2870,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2002,34,216269,801804e3,3707,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2003,34,214036,857457500,4006,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2004,34,212712,930592100,4375,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2005,34,210901,1121941100,5320,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2006,34,208810,1297752e3,6215,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2007,34,207872,1665478500,8012,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dakota,2008,34,204842,1685602400,8229,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,2000,19,266299,442090700,1660,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2001,19,265695,446843300,1682,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2002,19,265188,475586100,1793,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2003,19,264852,514836600,1944,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2004,19,264494,610678100,2309,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2005,19,264202,684518100,2591,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2006,19,263739,740419e3,2807,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2007,19,263118,855852700,3253,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Dodge,2008,19,261677,903676100,3453,039,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Douglas,2000,31,339230,225434540,665,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2001,31,338172,250558300,741,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2002,31,336551,291585800,866,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2003,31,335102,364520500,1088,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
